roll,p1,q1,p2,q2,p3,q3,p4,q4,p5,q5,p6,q6,p7,q7,p8,q8,p9,q9,p10,q10,p11,q11,p12,q12,p13,q13,p14,q14,p15,q15,p16,q16,p17,q17,p18,q18,p19,q19,p20,q20,p21,q21,p22,q22,p23,q23,p24,q24,p25,q25,p26,q26
1,0,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2,0,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
3,0,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
4,0,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
5,0,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
6,0,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
7,0,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
8,0,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
9,0,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
10,0,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
11,20,10,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,10,0,0,0,10,0,10,0,0,0,0
12,20,10,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,10,0,0,0,10,0,10,0,0,0,0
13,20,10,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,10,0,0,0,10,0,10,0,0,0,0
14,20,10,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,10,0,0,0,10,0,10,0,0,0,0
15,20,10,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,10,0,0,0,10,0,10,0,0,0,0
16,20,10,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,10,0,10,0,10,0,10,0,0,0,0
17,20,10,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,10,0,10,0,10,0,10,0,0,0,0
18,20,10,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,10,0,10,0,10,0,10,0,0,0,0
19,20,10,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,10,0,10,0,10,0,10,0,0,0,0
20,20,10,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,10,0,10,0,10,0,10,0,0,0,0
21,20,10,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,10,0,10,0,10,0,0,0,0,0,0,0,0,20,10,0,0,10,10,0,0,0,0,0,10,0,10,10,10,20,10,0,0,0,0
22,20,10,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,10,0,10,0,10,0,0,0,0,0,0,0,0,20,10,0,0,10,10,0,0,0,0,0,10,0,10,10,10,20,10,0,0,0,0
23,20,10,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,10,0,10,0,10,0,0,0,0,0,0,0,0,20,10,0,0,10,10,0,0,0,0,0,10,0,10,10,10,20,10,0,0,0,0
24,20,10,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,10,0,10,0,10,0,0,0,0,0,0,0,0,20,10,0,0,10,10,0,0,0,0,0,10,0,10,10,10,20,10,0,0,0,0
25,20,10,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,10,0,10,0,10,0,0,0,0,0,0,0,0,20,10,0,0,10,10,0,0,0,0,0,10,0,10,10,10,20,10,0,0,0,0
26,20,20,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,10,0,10,0,10,0,0,0,0,0,0,0,0,20,10,0,10,10,10,0,0,0,0,0,10,0,10,10,10,20,10,0,0,0,10
27,20,20,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,10,0,10,0,10,0,0,0,0,0,0,0,0,20,10,0,10,10,10,0,0,0,0,0,10,0,10,10,10,20,10,0,0,0,10
28,20,20,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,10,0,10,0,10,0,0,0,0,0,0,0,0,20,10,0,10,10,10,0,0,0,0,0,10,0,10,10,10,20,10,0,0,0,10
29,20,20,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,10,0,10,0,10,0,0,0,0,0,0,0,0,20,10,0,10,10,10,0,0,0,0,0,10,0,10,10,10,20,10,0,0,0,10
30,20,20,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,10,0,10,0,10,0,0,0,0,0,0,0,0,20,10,0,10,10,10,0,0,0,0,0,10,0,10,10,10,20,10,0,0,0,10
31,20,20,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,20,0,10,0,10,0,0,0,0,0,0,0,0,20,10,0,10,10,10,0,0,0,0,20,10,0,10,10,10,20,10,0,0,0,10
32,20,20,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,20,0,10,0,10,0,0,0,0,0,0,0,0,20,10,0,10,10,10,0,0,0,0,20,10,0,10,10,10,20,10,0,0,0,10
33,20,20,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,20,0,10,0,10,0,0,0,0,0,0,0,0,20,10,0,10,10,10,0,0,0,0,20,10,0,10,10,10,20,10,0,0,0,10
34,20,20,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,20,0,10,0,10,0,0,0,0,0,0,0,0,20,10,0,10,10,10,0,0,0,0,20,10,0,10,10,10,20,10,0,0,0,10
35,20,20,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,20,0,10,0,10,0,0,0,0,0,0,0,0,20,10,0,10,10,10,0,0,0,0,20,10,0,10,10,10,20,10,0,0,0,10
36,20,20,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,20,0,10,0,10,0,0,0,0,0,0,0,0,20,10,0,10,10,10,0,0,0,0,20,10,0,10,10,10,20,10,0,10,10,10
37,20,20,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,20,0,10,0,10,0,0,0,0,0,0,0,0,20,10,0,10,10,10,0,0,0,0,20,10,0,10,10,10,20,10,0,10,10,10
38,20,20,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,20,0,10,0,10,0,0,0,0,0,0,0,0,20,10,0,10,10,10,0,0,0,0,20,10,0,10,10,10,20,10,0,10,10,10
39,20,20,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,20,0,10,0,10,0,0,0,0,0,0,0,0,20,10,0,10,10,10,0,0,0,0,20,10,0,10,10,10,20,10,0,10,10,10
40,20,20,0,10,0,10,10,10,0,0,0,0,0,0,0,0,20,20,0,10,0,10,0,0,0,0,0,0,0,0,20,10,0,10,10,10,0,0,0,0,20,10,0,10,10,10,20,10,0,10,10,10
41,20,20,20,10,20,10,10,10,0,0,0,0,0,0,0,0,20,20,20,10,20,10,0,0,0,10,0,10,0,0,20,10,20,10,10,10,0,0,0,0,20,10,0,10,10,10,20,10,20,10,10,10
42,20,20,20,10,20,10,10,10,0,0,0,0,0,0,0,0,20,20,20,10,20,10,0,0,0,10,0,10,0,0,20,10,20,10,10,10,0,0,0,0,20,10,0,10,10,10,20,10,20,10,10,10
43,20,20,20,10,20,10,10,10,0,0,0,0,0,0,0,0,20,20,20,10,20,10,0,0,0,10,0,10,0,0,20,10,20,10,10,10,0,0,0,0,20,10,0,10,10,10,20,10,20,10,10,10
44,20,20,20,10,20,10,10,10,0,0,0,0,0,0,0,0,20,20,20,10,20,10,0,0,0,10,0,10,0,0,20,10,20,10,10,10,0,0,0,0,20,10,0,10,10,10,20,10,20,10,10,10
45,20,20,20,10,20,10,10,10,0,0,0,0,0,0,0,0,20,20,20,10,20,10,0,0,0,10,0,10,0,0,20,10,20,10,10,10,0,0,0,0,20,10,0,10,10,10,20,10,20,10,10,10
46,20,20,20,10,20,10,10,10,0,0,0,0,0,0,0,0,20,20,20,10,20,10,0,0,0,10,0,10,0,0,20,10,20,10,10,10,0,0,0,0,20,10,0,10,10,10,20,10,20,10,10,10
47,20,20,20,10,20,10,10,10,0,0,0,0,0,0,0,0,20,20,20,10,20,10,0,0,0,10,0,10,0,0,20,10,20,10,10,10,0,0,0,0,20,10,0,10,10,10,20,10,20,10,10,10
48,20,20,20,10,20,10,10,10,0,0,0,0,0,0,0,0,20,20,20,10,20,10,0,0,0,10,0,10,0,0,20,10,20,10,10,10,0,0,0,0,20,10,0,10,10,10,20,10,20,10,10,10
49,20,20,20,10,20,10,10,10,0,0,0,0,0,0,0,0,20,20,20,10,20,10,0,0,0,10,0,10,0,0,20,10,20,10,10,10,0,0,0,0,20,10,0,10,10,10,20,10,20,10,10,10
50,20,20,20,10,20,10,10,10,0,0,0,0,0,0,0,0,20,20,20,10,20,10,0,0,0,10,0,10,0,0,20,10,20,10,10,10,0,0,0,0,20,10,0,10,10,10,20,10,20,10,10,10
51,20,20,20,10,20,10,10,10,0,0,0,10,0,10,0,0,20,20,20,10,20,10,0,10,0,10,10,10,0,0,20,20,20,10,10,10,0,0,0,0,20,20,0,10,10,10,20,10,20,10,10,10
52,20,20,20,10,20,10,10,10,0,0,0,10,0,10,0,0,20,20,20,10,20,10,0,10,0,10,10,10,0,0,20,20,20,10,10,10,0,0,0,0,20,20,0,10,10,10,20,10,20,10,10,10
53,20,20,20,10,20,10,10,10,0,0,0,10,0,10,0,0,20,20,20,10,20,10,0,10,0,10,10,10,0,0,20,20,20,10,10,10,0,0,0,0,20,20,0,10,10,10,20,10,20,10,10,10
54,20,20,20,10,20,10,10,10,0,0,0,10,0,10,0,0,20,20,20,10,20,10,0,10,0,10,10,10,0,0,20,20,20,10,10,10,0,0,0,0,20,20,0,10,10,10,20,10,20,10,10,10
55,20,20,20,10,20,10,10,10,0,0,0,10,0,10,0,0,20,20,20,10,20,10,0,10,0,10,10,10,0,0,20,20,20,10,10,10,0,0,0,0,20,20,0,10,10,10,20,10,20,10,10,10
56,20,20,20,10,20,10,10,10,0,0,0,10,0,10,0,0,20,20,20,10,20,10,0,10,0,10,10,10,0,0,20,20,20,10,10,10,0,0,0,0,20,20,0,10,10,10,20,10,20,10,10,10
57,20,20,20,10,20,10,10,10,0,0,0,10,0,10,0,0,20,20,20,10,20,10,0,10,0,10,10,10,0,0,20,20,20,10,10,10,0,0,0,0,20,20,0,10,10,10,20,10,20,10,10,10
58,20,20,20,10,20,10,10,10,0,0,0,10,0,10,0,0,20,20,20,10,20,10,0,10,0,10,10,10,0,0,20,20,20,10,10,10,0,0,0,0,20,20,0,10,10,10,20,10,20,10,10,10
59,20,20,20,10,20,10,10,10,0,0,0,10,0,10,0,0,20,20,20,10,20,10,0,10,0,10,10,10,0,0,20,20,20,10,10,10,0,0,0,0,20,20,0,10,10,10,20,10,20,10,10,10
60,20,20,20,10,20,10,10,10,0,0,0,10,0,10,0,0,20,20,20,10,20,10,0,10,0,10,10,10,0,0,20,20,20,10,10,10,0,0,0,0,20,20,0,10,10,10,20,10,20,10,10,10
61,20,20,20,10,20,10,10,10,0,10,0,10,10,10,0,0,20,20,20,10,20,10,20,10,20,10,10,10,0,0,20,20,20,10,10,10,0,0,0,0,20,20,20,10,10,10,20,20,20,20,20,10
62,20,20,20,10,20,10,10,10,0,10,0,10,10,10,0,0,20,20,20,10,20,10,20,10,20,10,10,10,0,0,20,20,20,10,10,10,0,0,0,0,20,20,20,10,10,10,20,20,20,20,20,10
63,20,20,20,10,20,10,10,10,0,10,0,10,10,10,0,0,20,20,20,10,20,10,20,10,20,10,10,10,0,0,20,20,20,10,10,10,0,0,0,0,20,20,20,10,10,10,20,20,20,20,20,10
64,20,20,20,10,20,10,10,10,0,10,0,10,10,10,0,0,20,20,20,10,20,10,20,10,20,10,10,10,0,0,20,20,20,10,10,10,0,0,0,0,20,20,20,10,10,10,20,20,20,20,20,10
65,20,20,20,10,20,10,10,10,0,10,0,10,10,10,0,0,20,20,20,10,20,10,20,10,20,10,10,10,0,0,20,20,20,10,10,10,0,0,0,0,20,20,20,10,10,10,20,20,20,20,20,10
66,20,20,20,10,20,10,10,10,0,10,0,10,10,10,0,0,20,20,20,10,20,10,20,10,20,10,10,10,0,0,20,20,20,10,10,10,0,0,0,0,20,20,20,10,10,10,20,20,20,20,20,10
67,20,20,20,10,20,10,10,10,0,10,0,10,10,10,0,0,20,20,20,10,20,10,20,10,20,10,10,10,0,0,20,20,20,10,10,10,0,0,0,0,20,20,20,10,10,10,20,20,20,20,20,10
68,20,20,20,10,20,10,10,10,0,10,0,10,10,10,0,0,20,20,20,10,20,10,20,10,20,10,10,10,0,0,20,20,20,10,10,10,0,0,0,0,20,20,20,10,10,10,20,20,20,20,20,10
69,20,20,20,10,20,10,10,10,0,10,0,10,10,10,0,0,20,20,20,10,20,10,20,10,20,10,10,10,0,0,20,20,20,10,10,10,0,0,0,0,20,20,20,10,10,10,20,20,20,20,20,10
70,20,20,20,10,20,10,10,10,0,10,0,10,10,10,0,0,20,20,20,10,20,10,20,10,20,10,10,10,0,0,20,20,20,10,10,10,0,0,0,0,20,20,20,10,10,10,20,20,20,20,20,10
71,20,20,20,10,20,10,10,10,20,10,20,10,10,10,0,0,20,20,20,10,20,10,20,10,20,10,10,10,0,10,20,20,20,10,10,10,0,0,10,0,20,20,20,10,10,10,20,20,20,20,20,10
72,20,20,20,10,20,10,10,10,20,10,20,10,10,10,0,0,20,20,20,10,20,10,20,10,20,10,10,10,0,10,20,20,20,10,10,10,0,0,10,0,20,20,20,10,10,10,20,20,20,20,20,10
73,20,20,20,10,20,10,10,10,20,10,20,10,10,10,0,0,20,20,20,10,20,10,20,10,20,10,10,10,0,10,20,20,20,10,10,10,0,0,10,0,20,20,20,10,10,10,20,20,20,20,20,10
74,20,20,20,10,20,10,10,10,20,10,20,10,10,10,0,0,20,20,20,10,20,10,20,10,20,10,10,10,0,10,20,20,20,10,10,10,0,0,10,0,20,20,20,10,10,10,20,20,20,20,20,10
75,20,20,20,10,20,10,10,10,20,10,20,10,10,10,0,0,20,20,20,10,20,10,20,10,20,10,10,10,0,10,20,20,20,10,10,10,0,0,10,0,20,20,20,10,10,10,20,20,20,20,20,10
76,20,20,20,10,20,10,10,10,20,10,20,10,10,10,0,10,20,20,20,10,20,10,20,10,20,10,10,10,0,10,20,20,20,10,10,10,0,0,10,10,20,20,20,10,10,10,20,20,20,20,20,10
77,20,20,20,10,20,10,10,10,20,10,20,10,10,10,0,10,20,20,20,10,20,10,20,10,20,10,10,10,0,10,20,20,20,10,10,10,0,0,10,10,20,20,20,10,10,10,20,20,20,20,20,10
78,20,20,20,10,20,10,10,10,20,10,20,10,10,10,0,10,20,20,20,10,20,10,20,10,20,10,10,10,0,10,20,20,20,10,10,10,0,0,10,10,20,20,20,10,10,10,20,20,20,20,20,10
79,20,20,20,10,20,10,10,10,20,10,20,10,10,10,0,10,20,20,20,10,20,10,20,10,20,10,10,10,0,10,20,20,20,10,10,10,0,0,10,10,20,20,20,10,10,10,20,20,20,20,20,10
80,20,20,20,10,20,10,10,10,20,10,20,10,10,10,0,10,20,20,20,10,20,10,20,10,20,10,10,10,0,10,20,20,20,10,10,10,0,0,10,10,20,20,20,10,10,10,20,20,20,20,20,10
81,20,20,20,10,20,10,10,10,20,10,20,10,10,10,0,10,20,20,20,20,20,10,20,20,20,10,20,10,20,10,20,20,20,10,20,10,20,0,10,10,20,20,20,10,20,10,20,20,20,20,20,10
82,20,20,20,10,20,10,10,10,20,10,20,10,10,10,0,10,20,20,20,20,20,10,20,20,20,10,20,10,20,10,20,20,20,10,20,10,20,0,10,10,20,20,20,10,20,10,20,20,20,20,20,10
83,20,20,20,10,20,10,10,10,20,10,20,10,10,10,0,10,20,20,20,20,20,10,20,20,20,10,20,10,20,10,20,20,20,10,20,10,20,0,10,10,20,20,20,10,20,10,20,20,20,20,20,10
84,20,20,20,10,20,10,10,10,20,10,20,10,10,10,0,10,20,20,20,20,20,10,20,20,20,10,20,10,20,10,20,20,20,10,20,10,20,0,10,10,20,20,20,10,20,10,20,20,20,20,20,10
85,20,20,20,10,20,10,10,10,20,10,20,10,10,10,0,10,20,20,20,20,20,10,20,20,20,10,20,10,20,10,20,20,20,10,20,10,20,0,10,10,20,20,20,10,20,10,20,20,20,20,20,10
86,20,20,20,20,20,10,20,10,20,20,20,10,20,10,20,10,20,20,20,20,20,10,20,20,20,10,20,10,20,10,20,20,20,10,20,10,20,20,10,10,20,20,20,10,20,10,20,20,20,20,20,10
87,20,20,20,20,20,10,20,10,20,20,20,10,20,10,20,10,20,20,20,20,20,10,20,20,20,10,20,10,20,10,20,20,20,10,20,10,20,20,10,10,20,20,20,10,20,10,20,20,20,20,20,10
88,20,20,20,20,20,10,20,10,20,20,20,10,20,10,20,10,20,20,20,20,20,10,20,20,20,10,20,10,20,10,20,20,20,10,20,10,20,20,10,10,20,20,20,10,20,10,20,20,20,20,20,10
89,20,20,20,20,20,10,20,10,20,20,20,10,20,10,20,10,20,20,20,20,20,10,20,20,20,10,20,10,20,10,20,20,20,10,20,10,20,20,10,10,20,20,20,10,20,10,20,20,20,20,20,10
90,20,20,20,20,20,10,20,10,20,20,20,10,20,10,20,10,20,20,20,20,20,10,20,20,20,10,20,10,20,10,20,20,20,10,20,10,20,20,10,10,20,20,20,10,20,10,20,20,20,20,20,10
91,20,20,20,20,20,10,20,10,20,20,20,10,20,10,20,10,20,20,20,20,20,10,20,20,20,10,20,10,20,10,20,20,20,10,20,10,20,20,10,10,20,20,20,20,20,10,20,20,20,20,20,10
92,20,20,20,20,20,10,20,10,20,20,20,10,20,10,20,10,20,20,20,20,20,10,20,20,20,10,20,10,20,10,20,20,20,10,20,10,20,20,10,10,20,20,20,20,20,10,20,20,20,20,20,10
93,20,20,20,20,20,10,20,10,20,20,20,10,20,10,20,10,20,20,20,20,20,10,20,20,20,10,20,10,20,10,20,20,20,10,20,10,20,20,10,10,20,20,20,20,20,10,20,20,20,20,20,10
94,20,20,20,20,20,10,20,10,20,20,20,10,20,10,20,10,20,20,20,20,20,10,20,20,20,10,20,10,20,10,20,20,20,10,20,10,20,20,10,10,20,20,20,20,20,10,20,20,20,20,20,10
95,20,20,20,20,20,10,20,10,20,20,20,10,20,10,20,10,20,20,20,20,20,10,20,20,20,10,20,10,20,10,20,20,20,10,20,10,20,20,10,10,20,20,20,20,20,10,20,20,20,20,20,10
96,20,20,20,20,20,10,20,10,20,20,20,10,20,10,20,10,20,20,20,20,20,10,20,20,20,10,20,10,20,10,20,20,20,10,20,10,20,20,10,10,20,20,20,20,20,10,20,20,20,20,20,10
97,20,20,20,20,20,10,20,10,20,20,20,10,20,10,20,10,20,20,20,20,20,10,20,20,20,10,20,10,20,10,20,20,20,10,20,10,20,20,10,10,20,20,20,20,20,10,20,20,20,20,20,10
98,20,20,20,20,20,10,20,10,20,20,20,10,20,10,20,10,20,20,20,20,20,10,20,20,20,10,20,10,20,10,20,20,20,10,20,10,20,20,10,10,20,20,20,20,20,10,20,20,20,20,20,10
99,20,20,20,20,20,10,20,10,20,20,20,10,20,10,20,10,20,20,20,20,20,10,20,20,20,10,20,10,20,10,20,20,20,10,20,10,20,20,10,10,20,20,20,20,20,10,20,20,20,20,20,10
100,20,20,20,20,20,10,20,10,20,20,20,10,20,10,20,10,20,20,20,20,20,10,20,20,20,10,20,10,20,10,20,20,20,10,20,10,20,20,10,10,20,20,20,20,20,10,20,20,20,20,20,10